Store Name,Address,Region,Product,Draw Date,Value
QQ+ CONVENIENCE,1395 DAVENPORT RD M6H-2H6 TORONTO,TORONTO,CASH IN,31-2367,250000.0
ROCKWOOD LOTTO CENTRE,4141 DIXIE RD L4W-1V5 MISSISSAUGA,MISSISSAUGA,BINGO MULTIP,31-3080,250000.0
SANDHURST SUPER MARKET,1001 SANDHURST CIR M1V-1Z6 SCARBOROUGH,SCARBOROUGH,GOLDEN JP,31-2333,250000.0
T.O. FINE FOODS LAKESHORE,3089 LAKE SHORE BLVD W M8V-3W8 ETOBICOKE,ETOBICOKE,BINGO MULTIP,31-3080,250000.0
THICKSON CONVENIENCE,80 THICKSON RD S L1N-7T2 WHITBY,WHITBY,CROSS DELUXE,31-3351,250000.0
TODD'S YOUR INDEPENDENT GROCER,5121 COUNTY RD 21 K0M-1S0 HALIBURTON,HALIBURTON,LUKE COMBS,31-2389,250000.0
VICTORIA CONVENIENCE,132 VICTORIA ST N L1A-3M8 PORT HOPE,HOPE,SCRABBLE,31-2372,250000.0
SCOTT'S STORE,5 LAKE ST K0K-2T0 PICTON,PICTON,Lotto Max,11-Jul-2023,243397.3
PIONEER SNACK EXPRESS,919 UPPER PARADISE RD L9B-2M9 HAMILTON,HAMILTON,Lotto Max,19-May-2023,232634.8
MISTER CONVENIENCE,608 ORPINGTON RD K9J-4A4 PETERBOROUGH,PETERBOROUGH,Lotto Max,30-Jun-2023,212849.2
CMN SUPERMARKET,2189 WESTON RD M9N-1X9 YORK,YORK,PLINKO,31-2280,200000.0
KITCHEN FOOD FAIR #284,284 QUEEN ST E L6V-1C2 BRAMPTON,BRAMPTON,Lightning Lotto,07-Jul-2023,195340.5
ACTON SHELL & CONVENIENCE,318 QUEEN ST L7J-1R2 ACTON,ACTON,Poker Lotto All In,19-Apr-2023,175327.2
SEO MINI MART,867 EXMOUTH ST N7T-5R3 SARNIA,SARNIA,Lotto Max,07-Apr-2023,173957.5
NEW DAY CONVENIENCE,223 CEREMONIAL DR L5R-2N3 MISSISSAUGA,MISSISSAUGA,Lotto 649,08-Apr-2023,166437.5
STARSKY FINE FOODS INC.,3115 DUNDAS ST W L5L-3R8 MISSISSAUGA,MISSISSAUGA,Lotto 649,21-Jun-2023,165105.4
THE DOLLAR STORE PLUS,500 MAYFAIR AVE L1G-2Y2 OSHAWA,OSHAWA,Lightning Lotto,23-Jun-2023,164943.0
CLOVERLEAF GROCERY,5970 HWY 11-71 P0W-1E0 EMO,EMO,Lotto 649,05-Apr-2023,160802.3
ONE STOP CONVENIENCE,1194 KING ST E N3H-3P6 CAMBRIDGE,CAMBRIDGE,Poker Lotto All In,22-Mar-2023,156448.8
THE SECOND ROOF AND LEAF,7309 WOODBINE AVE L3R-3V7 MARKHAM,MARKHAM,Lotto 649,15-Apr-2023,154191.7
SDM #1220 - MCCOWAN & 16TH,9620 MCCOWAN RD L3P-3J3 MARKHAM,MARKHAM,Lotto Max,18-Jul-2023,153330.2
CIRCLE K #1264 - SIXTH LINE,2530 SIXTH LINE L6H-6W5 OAKVILLE,OAKVILLE,Lotto 649,10-Jun-2023,139752.1
GATEWAY NEWSTANDS,370 ST. CLAIR AVE W M5P-1N4 TORONTO,TORONTO,Lotto 649,10-Jun-2023,139752.1
SUPER STAR CONVENIENCE STORE,2950 BIRCHMOUNT RD M1W-3G5 SCARBOROUGH,SCARBOROUGH,Poker Lotto All In,03-May-2023,137584.5
INS MARKET,4025 YONGE ST M2P-2E3 NORTH YORK,YORK,Instant Top Up,03-Apr-2023,133916.6
MAC'S WYANDOTTE E,7945 WYANDOTTE ST E N8S-1T1 WINDSOR,WINDSOR,Lotto 649,05-Jul-2023,132358.2
LOTTO ONE,539 GOVERNMENT ST P8N-2P6 DRYDEN,DRYDEN,Lotto 649,17-May-2023,119170.3
KESWICK VARIETY STORE,532 THE QUEENSWAY  S L4P-2E6 KESWICK,KESWICK,Lotto 649,06-May-2023,109927.5
THE THOMASBURG STORE,4822 HIGHWAY 37 K0K-3H0 THOMASBURG,THOMASBURG,Lotto 649,06-May-2023,109927.5
ESSO/CIRCLE K #52290,5571 YONGE ST M2N-5S4 NORTH YORK,YORK,Poker Lotto All In,28-Jun-2023,109468.6
PROSPECT VARIETY,901 MAIN ST E L8M-1M4 HAMILTON,HAMILTON,Poker Lotto All In,27-Jul-2023,109034.7
BIG BAY POINT VARIETY,649 YONGE ST L4N-4E7 BARRIE,BARRIE,Lotto 649,15-Mar-2023,106665.4
GIANT TIGER #202 GUELPH,183 SILVERCREEK PKY N N1H-3T2 GUELPH,GUELPH,Lotto 649,15-Mar-2023,106665.4
EAGLE MINI MART,1531 EAGLE ST N N3H-1E1 CAMBRIDGE,CAMBRIDGE,Poker Lotto All In,06-Aug-2023,104022.8
BIG BEAR FOOD MART,1401 RIVER RD E N2A-3X9 KITCHENER,KITCHENER,Lotto 649,24-Jun-2023,101801.8
7-ELEVEN BATHURST,3587 BATHURST ST M6A-2E2 NORTH YORK,YORK,Encore - Pick 3,07-Jul-2023,100000.0
7-ELEVEN ERIE,327 ERIE ST N5A-2N1 STRATFORD,STRATFORD,Encore - Ontario 49,22-Jul-2023,100000.0
7-ELEVEN TECUMSEH,5124 TECUMSEH RD E N8T-1C1 WINDSOR,WINDSOR,CROSSTRIPLER,31-3301,100000.0
777 VARIETY STORE,3095 BATHURST ST M6A-2A3 NORTH YORK,YORK,Encore - Pick 4,04-Aug-2023,100000.0
A & M MARKET,5353 LAKESHORE RD L7L-1C8 BURLINGTON,BURLINGTON,SUIT UP,31-2356,100000.0
ASPENDOS ENERGY INC. (PETRO CANADA),8155 TORBRAM RD L6T-5C5 BRAMPTON,BRAMPTON,Encore - Daily Grand,20-Apr-2023,100000.0
AVO CONVENIENCE,170 SANDALWOOD PKY E L6Z-1Y5 BRAMPTON,BRAMPTON,Encore - 649,18-Mar-2023,100000.0
